%Vernier Format 2
%tyson-doublevolume-ptbr.cmbl 4/21/2005 18:29:17 .
%Latest
%Time	Signal 1	Signal 2
%t	Signal 1	Signal 2
%s	mV	mV
%
153.25	1059.28797389	251.616412041
153.5	1058.15504372	251.616412041
153.75	1057.02211354	251.053506816
154	1055.88918337	251.053506816
154.25	1054.18978811	251.053506816
154.5	1052.49039285	251.053506816
154.75	1050.79099759	251.053506816
155	1047.95867216	250.490601592
155.25	1044.55988164	249.927696368
155.5	1038.89523077	249.364791144
155.75	1029.2653243	248.801885919
156	1012.27137169	246.550265022
156.25	996.410349267	243.172833677
156.5	989.612768227	241.484118004
156.75	985.081047533	239.232497107
157	982.2487221	237.543781434
157.25	979.416396666	235.855065761
157.5	977.150536319	234.166350089
157.75	975.451141059	232.477634416
158	973.185280713	231.351823967
158.25	970.352955279	229.663108295
158.5	968.653560019	229.10020307
158.75	966.954164759	227.411487398
159	965.254769499	226.285676949
159.25	963.555374239	224.596961276
159.5	961.289513892	222.345340379
159.75	959.590118632	220.093719482
160	957.890723372	216.716288137
160.25	956.191328112	215.027572464
160.5	955.058397938	213.338856791
160.75	953.359002678	211.650141119
161	952.226072505	210.52433067
161.25	951.093142331	209.398520222
161.5	949.960212158	208.835614997
161.75	948.827281985	208.272709773
162	947.694351811	207.709804549
162.25	946.561421638	207.709804549
162.5	945.428491464	207.146899325
162.75	944.295561291	207.709804549
163	943.729096204	207.709804549
163.25	943.162631118	207.709804549
163.5	942.596166031	207.709804549
163.75	942.029700944	208.272709773
164	941.463235857	208.272709773
164.25	941.463235857	208.272709773
164.5	939.763840597	208.835614997
164.75	940.330305684	209.398520222
165	939.763840597	209.961425446
165.25	938.630910424	210.52433067
165.5	938.630910424	211.650141119
165.75	937.497980251	211.650141119
166	936.931515164	212.775951567
166.25	935.79858499	212.775951567
166.5	935.232119904	213.338856791
166.75	934.665654817	213.338856791
167	932.966259557	213.338856791
167.25	933.532724644	213.901762016
167.5	933.532724644	214.46466724
167.75	933.532724644	215.027572464
168	932.966259557	214.46466724
168.25	932.966259557	215.590477688
168.5	932.966259557	215.590477688
168.75	931.833329384	216.153382913
169	932.966259557	216.716288137
169.25	932.966259557	217.279193361
169.5	947.694351811	217.842098585
169.75	972.618815626	219.530814258
170	1007.739651	222.908245604
170.25	1051.92392776	228.537297846
170.5	1084.77890279	234.166350089
